year,no requests,pending,overdue,partial,completed
2013.0,55,0,70,14,35
2014.0,539,0,8,2,10
2015.0,313,0,74,12,83
2016.0,34,0,162,59,220
2017.0,36,0,153,66,191
2018.0,20,0,138,46,216
2019.0,36,0,166,72,254
2020.0,11,0,58,54,189
2021.0,25,0,80,49,279
2022.0,25,0,101,45,248
2023.0,15,18,150,64,286
2024.0,0,51,0,0,0
