year,female,male,unknown,"unknown
"
2013,39,93,42,0
2014,129,260,170,0
2015,143,224,115,0
2016,141,219,114,0
2017,160,186,100,0
2018,164,180,76,0
2019,238,214,76,0
2020,133,137,42,0
2021,179,182,72,0
2022,179,170,69,1
2023,234,193,106,0
2024,26,15,10,0
